id,resto_name,cuisine
132560,puesto de gorditas,Regional
132572,Cafe Chaires,Cafeteria
132583,McDonalds Centro,American
132584,Gorditas Dona Tota,Mexican
132594,tacos de barbacoa enfrente del Tec,Mexican
132608,Hamburguesas La perica,Mexican
132609,Pollo_Frito_Buenos_Aires,Fast_Food
132613,carnitas_mata,Mexican
132626,la perica hamburguesa,Italian
132630,palomo tec,Mexican
132663,tacos abi,Mexican
132665,TACOS CORRECAMINOS,Mexican
132667,little pizza Emilio Portes Gil,Armenian
132668,TACOS EL GUERO,Mexican
132706,Gorditas Dona Tota,Mexican
132715,tacos de la estacion,Mexican
132717,tortas hawai,Fast_Food
132723,Gordas de morales,Mexican
132732,Taqueria EL amigo ,Mexican
132733,Little Cesarz,Pizzeria
132740,Carreton de Flautas y Migadas,Mexican
132754,Cabana Huasteca,Mexican
132755,La Estrella de Dimas,Mexican
132766,Mikasa,Japanese
132767,Restaurant Familiar El Chino,Vietnamese
132768,Mariscos Tia Licha,Family
132773,El cotorreo,Mexican
132825,puesto de tacos,Mexican
132834,Gorditas Doa Gloria,Mexican
132845,Cenaduria El RincÃ³n de Tlaquepaque,Mexican
132846,el lechon potosino ,International
132851,KFC,American
132854,Sirlone,International
132856,Unicols Pizza,Italian
132858,Hamburguesas Valle Dorado,Burgers
132861,Carls Jr,Burgers
132862,La Posada del Virrey,International
132866,Chaires,Cafeteria
132869,Dominos Pizza,Pizzeria
132870,Tortas y hamburguesas el gordo,Burgers
132872,Pizzeria Julios,American
132875,shi ro ie,Japanese
132885,Hamburguesas saul,Cafeteria
132921,crudalia,Bar
132922,cafe punta del cielo,Cafeteria
132925,el pueblito,Mexican
132937,rockabilly ,Bar
132951,VIPS,American
132954,la parroquia,Breakfast-Brunch
132955,emilianos,Bar_Pub_Brewery
132958,tacos los volcanes,American
134976,Log Yin,Burgers
134983,Restaurant and Bar and Clothesline Carlos N Charlies,Bar
134986,Restaurant Las Mananitas,International
134999,Kiku Cuernavaca,Japanese
135018,El Oceano Dorado,Mexican
135019,Restaurant Bar Coty y Pablo,Bar
135021,Subway,Fast_Food
135025,El Rincon de San Francisco,Mexican
135026,la Cantina,Bar_Pub_Brewery
135027,Restaurant Orizatlan,Mexican
135028,La Virreina,Mexican
135030,Preambulo Wifi Zone Cafe,Cafe-Coffee_Shop
135032,Cafeteria y Restaurant El Pacifico,Cafeteria
135034,Michiko Restaurant Japones,Japanese
135035,El Mundo de la Pasta,Italian
135039,Restaurant de Mariscos de Picon,Seafood
135041,Luna Cafe,Bar
135042,Restaurant Oriental Express,Chinese
135043,pizza clasica,Fast_Food
135044,Restaurant Wu Zhuo Yi,Chinese
135046,Restaurante El Reyecito,Fast_Food
135048,Restaurante Bar Fu-hao,Bar
135049,Restaurante de Mariscos la Langosta,Seafood
135052,La Cantina Restaurante,Bar_Pub_Brewery
135053,La Fontana Pizza Restaurante and Cafe,Pizzeria
135054,Restaurante y Pescaderia Tampico,Seafood
135055,la Cochinita Pibil Restaurante Yucateco,Mexican
135057,El Herradero Restaurante and Bar,Bar
135058,Restaurante Tiberius,Pizzeria
135059,Restaurant Bar Hacienda los Martinez,Bar
135060,Restaurante Marisco Sam,Seafood
135069,Abondance Restaurante Bar,Bar
135071,Restaurante la Cantina,Bar_Pub_Brewery
135072,Sushi Itto,Japanese
135073,Restaurante Bar El Gallinero,Bar
135074,Restaurante la Parroquia Potosina,Contemporary
135075,Mariscos El Pescador,Seafood
135079,Koye Sushi,Chinese
135085,Tortas Locas Hipocampo,Fast_Food
135086,Mcdonalds Parque Tangamanga,Fast_Food
135088,Cafeteria cenidet,Cafeteria
135104,vips,Mexican
135106,El Rincón de San Francisco,Mexican
135109,Paniroles,Italian
